iter	BalancedAccuracy	Logloss
0	0.8190440554	0.6747957601
1	0.8186536084	0.656591127
2	0.8212782803	0.6411731064
3	0.8212782803	0.627515116
4	0.824656732	0.6123690846
5	0.824656732	0.6007044503
6	0.8212782803	0.5892460634
7	0.823344396	0.5773209442
8	0.8212782803	0.5676552831
9	0.823344396	0.5569374491
10	0.823344396	0.5463417678
11	0.823344396	0.5397634327
12	0.823344396	0.5307019522
13	0.823344396	0.5231984856
14	0.823344396	0.5151102742
15	0.8207197241	0.5091837141
16	0.8207197241	0.5024601779
17	0.8207197241	0.495073477
18	0.8207197241	0.4898006299
19	0.82203206	0.4831936605
20	0.82203206	0.4787631718
21	0.8207197241	0.4747475357
22	0.8207197241	0.4699474279
23	0.8207197241	0.4665502334
24	0.8207197241	0.4609092021
25	0.8207197241	0.4569737957
26	0.8207197241	0.4522328136
27	0.8207197241	0.4480346436
28	0.8207197241	0.4438727811
29	0.8207197241	0.4403570688
30	0.8207197241	0.4371539001
31	0.8207197241	0.4342951027
32	0.8207197241	0.432413184
33	0.82203206	0.4300128019
34	0.82203206	0.4288434536
35	0.82203206	0.4261580701
36	0.82203206	0.4232870195
37	0.82203206	0.4206526291
38	0.823344396	0.4177852795
39	0.82203206	0.4158683181
40	0.823344396	0.4140585751
41	0.823344396	0.4121376168
42	0.824656732	0.4090031217
43	0.824656732	0.4067837123
44	0.824656732	0.4054660091
45	0.824656732	0.4038250088
46	0.824656732	0.4022142805
47	0.824656732	0.3999924069
48	0.824656732	0.3987918469
49	0.824656732	0.3979129232
50	0.824656732	0.3971851785
51	0.824656732	0.3957633891
52	0.824656732	0.3949350015
53	0.824656732	0.3939275831
54	0.824656732	0.3927605329
55	0.824656732	0.391462998
56	0.8259690679	0.3903933093
57	0.824656732	0.3896730585
58	0.8259690679	0.3886244822
59	0.8259690679	0.3870813505
60	0.8259690679	0.3862342048
61	0.8259690679	0.3856515847
62	0.8259690679	0.384955588
63	0.8259690679	0.3839260918
64	0.8259690679	0.3832520874
65	0.8259690679	0.3818406241
66	0.8259690679	0.3816895021
67	0.8272814039	0.3801946863
68	0.8272814039	0.3789846857
69	0.8272814039	0.3779951609
