iter	Passed	Remaining
0	341	341051
1	344	172133
2	348	115794
3	351	87468
4	355	70782
5	360	59642
6	363	51567
7	367	45570
8	371	40956
9	377	37397
10	383	34503
11	387	31900
12	392	29803
13	396	27927
14	400	26303
15	404	24876
16	407	23587
17	413	22549
18	417	21548
19	421	20655
20	425	19850
21	429	19102
22	432	18393
23	436	17770
24	440	17191
25	444	16661
26	449	16187
27	452	15724
28	457	15306
29	461	14912
30	465	14546
31	470	14228
32	473	13869
33	476	13546
34	478	13197
35	482	12923
36	486	12671
37	490	12423
38	494	12191
39	498	11960
40	502	11744
41	505	11534
42	509	11343
43	513	11159
44	518	10995
45	521	10823
46	525	10661
47	531	10534
48	535	10389
49	539	10243
50	541	10077
51	545	9937
52	550	9832
53	554	9710
54	557	9586
55	562	9481
56	566	9369
57	569	9241
58	572	9132
59	576	9036
60	581	8956
61	585	8859
62	589	8765
63	593	8682
64	597	8598
65	601	8511
66	609	8485
67	613	8412
68	617	8335
69	621	8263
70	626	8196
71	629	8119
72	634	8053
73	637	7981
74	642	7918
75	645	7852
76	718	8613
77	727	8596
78	734	8560
79	743	8548
80	752	8533
81	758	8490
82	763	8434
83	768	8383
84	780	8407
85	789	8387
86	797	8366
87	803	8328
88	812	8312
89	824	8339
90	832	8312
91	838	8276
92	843	8229
93	849	8187
94	855	8146
95	860	8101
96	865	8060
97	871	8017
98	877	7986
99	882	7942
100	887	7897
101	891	7849
102	896	7804
103	900	7756
104	905	7716
105	911	7686
106	915	7644
107	920	7603
108	925	7566
109	929	7521
110	934	7483
111	938	7441
112	942	7399
113	947	7362
114	951	7323
115	955	7284
116	959	7243
117	963	7202
118	967	7163
119	971	7121
120	974	7080
121	977	7035
122	979	6986
123	983	6947
124	985	6900
125	988	6855
126	991	6817
127	995	6780
128	999	6751
129	1003	6717
130	1007	6683
131	1011	6649
132	1015	6619
133	1019	6588
134	1023	6556
135	1026	6521
136	1029	6486
137	1033	6455
138	1037	6425
139	1041	6395
140	1045	6369
141	1049	6338
142	1052	6310
143	1055	6276
144	1060	6252
145	1064	6223
146	1067	6196
147	1071	6167
148	1075	6141
149	1078	6109
150	1081	6082
151	1083	6045
152	1088	6024
153	1093	6005
154	1097	5980
155	1105	5982
156	1110	5964
157	1114	5941
158	1117	5910
159	1121	5889
160	1126	5868
161	1130	5847
162	1134	5823
163	1138	5801
164	1140	5773
165	1144	5750
166	1148	5726
167	1151	5704
168	1155	5682
169	1159	5660
170	1163	5641
171	1168	5627
172	1174	5612
173	1177	5591
174	1182	5573
175	1186	5554
176	1191	5538
177	1194	5516
178	1197	5492
179	1200	5468
180	1203	5446
181	1207	5427
182	1210	5404
183	1213	5380
184	1215	5356
185	1220	5342
186	1224	5324
187	1228	5307
188	1232	5288
189	1236	5271
190	1240	5254
191	1244	5237
192	1248	5220
193	1252	5203
194	1255	5184
195	1259	5166
196	1262	5145
197	1265	5126
198	1269	5110
199	1273	5094
200	1276	5076
201	1283	5069
202	1287	5053
203	1291	5037
204	1295	5025
205	1299	5008
206	1303	4992
207	1307	4976
208	1309	4957
209	1313	4940
210	1315	4917
211	1317	4896
212	1319	4876
213	1322	4855
214	1324	4837
215	1327	4816
216	1330	4799
217	1332	4779
218	1334	4760
219	1337	4742
220	1341	4727
221	1343	4708
222	1346	4692
223	1348	4672
224	1351	4655
225	1354	4637
226	1356	4619
227	1358	4600
228	1361	4583
229	1363	4565
230	1366	4547
231	1368	4530
232	1371	4514
233	1373	4496
234	1376	4481
235	1379	4465
236	1381	4448
237	1383	4430
238	1386	4414
239	1389	4398
240	1392	4385
241	1395	4370
242	1398	4356
243	1400	4340
244	1403	4324
245	1404	4305
246	1407	4289
247	1409	4274
248	1412	4259
249	1415	4247
250	1418	4232
251	1420	4217
252	1423	4203
253	1427	4191
254	1429	4177
255	1432	4162
256	1435	4149
257	1437	4134
258	1440	4121
259	1442	4106
260	1445	4092
261	1447	4077
262	1450	4063
263	1452	4049
264	1455	4038
265	1460	4030
266	1462	4016
267	1465	4002
268	1467	3988
269	1470	3975
270	1472	3962
271	1475	3948
272	1477	3935
273	1480	3921
274	1482	3908
275	1485	3896
276	1487	3883
277	1490	3870
278	1492	3858
279	1496	3848
280	1499	3836
281	1502	3825
282	1504	3812
283	1507	3799
284	1509	3786
285	1512	3774
286	1514	3762
287	1518	3752
288	1520	3740
289	1522	3727
290	1525	3717
291	1528	3705
292	1530	3692
293	1533	3681
294	1536	3672
295	1540	3663
296	1543	3654
297	1547	3645
298	1550	3634
299	1552	3622
300	1554	3610
301	1558	3601
302	1562	3593
303	1565	3585
304	1569	3576
305	1573	3568
306	1578	3562
307	1582	3554
308	1585	3546
309	1588	3536
310	1591	3526
311	1593	3514
312	1596	3505
313	1599	3493
314	1601	3482
315	1604	3472
316	1607	3462
317	1610	3454
318	1613	3444
319	1615	3433
320	1618	3422
321	1621	3413
322	1623	3402
323	1625	3391
324	1628	3383
325	1632	3374
326	1635	3365
327	1638	3356
328	1640	3346
329	1643	3337
330	1646	3328
331	1649	3318
332	1651	3308
333	1654	3298
334	1656	3287
335	1659	3278
336	1661	3268
337	1663	3258
338	1667	3251
339	1669	3241
340	1672	3231
341	1674	3222
342	1677	3213
343	1679	3203
344	1682	3193
345	1684	3183
346	1687	3174
347	1689	3165
348	1693	3158
349	1695	3149
350	1698	3140
351	1700	3130
352	1702	3121
353	1705	3112
354	1708	3103
355	1710	3094
356	1713	3086
357	1716	3077
358	1718	3068
359	1720	3059
360	1723	3050
361	1725	3041
362	1728	3032
363	1730	3023
364	1733	3015
365	1735	3006
366	1738	2998
367	1741	2990
368	1743	2981
369	1745	2972
370	1748	2963
371	1750	2955
372	1755	2950
373	1758	2943
374	1760	2934
375	1763	2926
376	1765	2918
377	1768	2909
378	1770	2901
379	1773	2893
380	1775	2885
381	1778	2876
382	1780	2868
383	1782	2859
384	1785	2852
385	1788	2844
386	1790	2836
387	1793	2828
388	1796	2821
389	1798	2813
390	1801	2805
391	1803	2797
392	1805	2789
393	1808	2781
394	1811	2774
395	1813	2766
396	1816	2759
397	1819	2751
398	1821	2743
399	1823	2735
400	1826	2727
401	1829	2721
402	1832	2714
403	1834	2706
404	1837	2698
405	1839	2691
406	1841	2683
407	1844	2676
408	1847	2668
409	1849	2661
410	1852	2654
411	1854	2646
412	1857	2639
413	1859	2631
414	1862	2624
415	1864	2617
416	1866	2609
417	1870	2604
418	1872	2596
419	1874	2589
420	1877	2581
421	1879	2574
422	1882	2568
423	1885	2561
424	1887	2554
425	1890	2546
426	1892	2539
427	1895	2532
428	1898	2526
429	1901	2520
430	1903	2513
431	1906	2506
432	1908	2499
433	1911	2492
434	1913	2485
435	1915	2478
436	1918	2471
437	1920	2464
438	1923	2457
439	1927	2453
440	1930	2446
441	1932	2439
442	1934	2432
443	1936	2425
444	1940	2420
445	1943	2413
446	1945	2407
